product_name,category,energy_kcal_100g,fat_100g,sugars_100g,carbohydrates_100g,serving_size_g,packaging_quantity,source_url
Tomato Ketchup,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup, Groceries",102.0,0.1,22.8,23.2,15.0,,https://world.openfoodfacts.org/product/50457250
Moutarde 10.50 g,"Condiments,Sauces,Mustards,Groceries  Condiments  Sauces  Epicerie  Moutardes",158.7,11.19,1.94,7.07,100.0,,https://world.openfoodfacts.org/product/6111184001203
RICORE Original,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Préparations pour boissons,Boissons instantanées,Chicorée et café en poudre soluble,Aliments",141.0,0.5,9.1,9.1,4.0,,https://world.openfoodfacts.org/product/3033710073467
Philadelphia,"Dairies,Fermented foods,Fermented milk products,Cheeses,Spreads,Salted spreads,Cheese spreads,Cream cheeses",226.0,21.0,4.3,4.3,30.0,,https://world.openfoodfacts.org/product/7622201693916
High Protein Chocolate Flavour Pudding,"Laticínios,Sobremesas,Sobremesas de laticínios,en:Entremets - mousses and creamy puddings,Sobremesas de chocolate,Cremes de sobremesa,en:Chocolate creamy puddings,en:Refrigerated chocolate creamy puddings",76.0,1.0,4.0,5.2,200.0,,https://world.openfoodfacts.org/product/4056489216162
Fasole albă în sos de roșii,"Растителни храни и напитки,Растителни храни,en:Fruits and vegetables based foods,Зеленчуци и зеленчукови продукти,en:Vegetable-based foods and beverages,Консерви,Зеленчуци,Зеленчукови храни,Консервирани растителни храни,en:Prepared vegetables,Печен боб в доматен сос,en:Canned legumes,Боб от консерва",79.0,0.2,5.0,12.9,100.0,,https://world.openfoodfacts.org/product/5000157024671
Real Mayonnaise,"Condiments,Sauces,Sauces salades,Mayonnaises,en:Groceries",725.0,79.0,1.3,1.4,14.0,,https://world.openfoodfacts.org/product/8722700479475
Sirop d'Agave,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Édulcorants,Sirops,Sirops simples,Sirops d'agave",457.0,0.714,113.0,115.0,350.0,,https://world.openfoodfacts.org/product/3088543506255
Fruit & Nut Mix,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Snacks, Dried products, Fruits based foods, Dried plant-based foods, Dried fruits, Dried mixed fruits, Mix of grains and dried fruit, Mix of grains and raisins, Nuts with dried fruits",504.0,31.7,35.7,40.5,100.0,,https://world.openfoodfacts.org/product/20815394
Carré Frais - Nature,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Produits à tartiner,Produits à tartiner salés,Produits pasteurisés,Fromages pasteurisés,Fromages à tartiner",193.0,15.0,2.5,2.5,25.0,,https://world.openfoodfacts.org/product/3480341000636
Beurre bio cacahuète,Beurres de cacahuètes,622.0,50.0,5.8,13.0,100.0,,https://world.openfoodfacts.org/product/3760091727732
Excellence Noir Subtil Doux 70% Cacao,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar with more than 70% cocoa",610.0,48.0,29.0,33.0,10.0,,https://world.openfoodfacts.org/product/3046920029780
La gâche tranchée,"Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Brioches",341.0,12.0,13.0,49.0,33.5,,https://world.openfoodfacts.org/product/3587220002252
Tranches Au Goût Cheddar,"Dairies, Fermented foods, Fermented milk products, Cheeses, ar:منتاجات الالبان, en:melted-cheese",281.0,8.0,0.0,21.0,30.0,,https://world.openfoodfacts.org/product/6111260230619
